150918 163426.061|CONFIG|Thread-5|setFileHandlers|Now logging to D:\CONTEST2015\pc2-9.2.4\bin\logs directory.
150918 163426.061|INFO|Thread-5|info|
150918 163426.061|INFO|Thread-5|info|Version 9.2.4 20140920 (Saturday, September 20th 2014 00:52 UTC) Java ver 1.8.0_60 build 2837 Windows 7 6.1 (x86) 
150918 163426.061|INFO|Thread-5|info|Login: team19 (aka team19)
150918 163426.061|INFO|Thread-5|startLog|Working directory is D:\CONTEST2015\pc2-9.2.4\bin
150918 163426.062|INFO|Thread-5|startLog|Process id is 2356@Student-PC
150918 163426.062|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
150918 163426.083|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
150918 163426.223|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
150918 163426.223|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #41 SERVER0 @ site 1 -> TEAM19 @ site 1
150918 163426.223|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #41 SERVER0 @ site 1 -> TEAM19 @ site 1
150918 163431.331|INFO|Thread-1|info|connectionDropped: shutting down TEAM19 @ site 1
